161	qaqc/recording_intervals	recording_interval_quality_code	Always
162	qaqc/recording_intervals	recording_interval_json	
163	qaqc/recording_intervals	recording_interval_comments	
164	tracks/tracks	organization_code	Always
165	tracks/tracks	deployment_code	Always
166	tracks/tracks	track_code	Always
167	tracks/tracks	track_uri	
168	tracks/tracks	track_json	
169	tracks/tracks	track_comments	
170	tracks/track_positions	organization_code	Always
171	tracks/track_positions	deployment_code	Always
172	tracks/track_positions	track_code	Always
173	tracks/track_positions	track_position_datetime	Always
174	tracks/track_positions	track_position_latitude	Always
175	tracks/track_positions	track_position_longitude	Always
176	tracks/track_positions	track_position_speed_knots	
177	tracks/track_positions	track_position_depth_m	
178	tracks/track_positions	track_position_json	
179	tracks/track_positions	track_position_comments	
